"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c11","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Unfriendly-Friendly",NA,"Friendly",5
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c13","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not brave-Brave",NA,"Not brave",1
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c13","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not brave-Brave",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c13","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not brave-Brave",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c13","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not brave-Brave",NA,NA,4
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c13","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not brave-Brave",NA,"Brave",5
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c14","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not intelligent-Intelligent",NA,"Not intelligent",1
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c14","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not intelligent-Intelligent",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c14","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not intelligent-Intelligent",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c14","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Not intelligent-Intelligent",NA,NA,4
