"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D7","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to be involved in every health campaign aimed to destroy mosquito breeding place, as it helps reduce the risk of dengue to my family.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D7","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to be involved in every health campaign aimed to destroy mosquito breeding place, as it helps reduce the risk of dengue to my family.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D7","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to be involved in every health campaign aimed to destroy mosquito breeding place, as it helps reduce the risk of dengue to my family.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D7","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to be involved in every health campaign aimed to destroy mosquito breeding place, as it helps reduce the risk of dengue to my family.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D7","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I need to be involved in every health campaign aimed to destroy mosquito breeding place, as it helps reduce the risk of dengue to my family.",NA,"Strongly Disagree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D8","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"With at least one person who is knowledgeable about the disease in the house, he/she can help prevent the disease in the home.",NA,"Strongly Agree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D8","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"With at least one person who is knowledgeable about the disease in the house, he/she can help prevent the disease in the home.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D8","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"With at least one person who is knowledgeable about the disease in the house, he/she can help prevent the disease in the home.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D8","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"With at least one person who is knowledgeable about the disease in the house, he/she can help prevent the disease in the home.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D8","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"With at least one person who is knowledgeable about the disease in the house, he/she can help prevent the disease in the home.",NA,NA,5
