source,journal,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
plos,plosone,10.1371/journal.pone.0325820,"The struggle of preserving self-esteem and professional identity: A grounded theory study of specialists’ experiences serving in the public health system in Rajasthan, India",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0325820,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'S. No.', 'Basic level concepts (Open codes)', 'Higher level concepts (Axial codes) - Sub Themes/Themes'] | SI caption: Code list.   https://doi.org/10.1371/journal.pone.0325820.s0",All relevant data are within the manuscript and its  Supporting information  file.,,journal.pone.0325820_S1_Appendix.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0349605,A study of push and pull factors influencing employee retention in education sector in China: Using PLS-SEM and multi-group analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0349605,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, multi_scale* | SI caption: Dataset.   https://doi.org/10.1371/journal.pone.0349605.s002",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0349605_S2_File.xlsx,17608.0,7.0,31.0,81.1429,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0251634,Adjusting to university: Perceptions of first-year health professions students,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0251634,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'mean ± SD', 'F or t statistics, P value', 'Effect size', 'mean ± SD.1', 'F or t statistics, P value.1', 'Effect size.1', 'mean ± SD.2', 'F or t statistics, P value.2', 'Effect size.2', 'mean ± SD.3', 'F or t statistics, P value.3', 'Effec",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0251634_S1_Table.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0168311,Promoting Therapists’ Use of Motor Learning Strategies within Virtual Reality-Based Stroke Rehabilitation,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0168311,cc-by,human_assistance,"QC failed on: dup_id_item | QC warnings to review: id_na, resp_direction* | SI caption: De-identified results for each participant on the Motor Lear",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0168311_S1_Table.xlsx,96.0,19.0,4.0,1.2632,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0121978,Further Tests of Belief-Importance Theory,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0121978,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: id_na, resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Belimp dataset for the study.   https://doi.org/10.1371/jour",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0121978_S1_Dataset.sav,8641.0,11.0,34.0,23.1043,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0136037,Depression Dimensions: Integrating Clinical Signs and Symptoms from the Perspectives of Clinicians and Patients,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0136037,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Unnamed: 0' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Eigenvalues'] | SI caption: Exploratory Factor Analyses factors (2–10 factors).   https:","All relevant data are within the paper and its Supporting Information file. Any additional data, if so desired, may be obtained upon request to the corresponding author.",,journal.pone.0136037_S1_File.xls,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0330044,Predicting achievement of clinical goals using machine learning in myasthenia gravis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0330044,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Total', 'non MM', 'MM or better'] | SI caption: The profiles of 414 MG patients in validation data.   https:","As stated in our Data Sharing Statement, the clinical data are not publicly available due to privacy concerns. However, data may be available upon reasonable request and subject to review within the MGR group to establish the viability of sharing. To request access to the data, please contact the Et",,journal.pone.0330044_S1_Table.csv,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0343008,Effect of reconstruction plate removal on dental implants in fibula flap mandibles: A biomechanical and clinical study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343008,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Fibula', 'fibula-implant interface', 'fibula-screw interface', 'implants', 'healthy-side mandible', 'healthy-side mandible and screw interface', 'affected-side mandible', 'affected-side mandible and screw interface', 'screw'",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0343008_S1_File.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0247183,Limited evidence for executive function load impairing selective copying in a win-stay lose-shift task,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0247183,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'runID' as fallback — verify this is the person identifier. | Wide source file contains response-level column(s) ['date'] — cannot safely melt. Manual mapping required. | SI caption: https://doi.org/10.1371/journal.pone.0247183.s006",Relevant data and scripts to replicate analysis are within the manuscript and its  Supporting information  files. Scripts to replicate the study tasks are available in an OSF repository which is linked within the  Supporting information  or can be accessed directly here:  https://osf.io/bfg3x/ .,https://osf.io/bfg3x/,journal.pone.0247183_S4_Data.csv,,,,,10.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0213582,Why do people spend money to help vulnerable people?,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0213582,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0213582.s001",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0213582_S1_Dataset.xlsx,3800.0,21.0,19.0,9.5238,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
