source,title,doi,published,url
figshare,<p>Preoperative level of anxiety score according to metric variables. Results are expressed as mean ± SD.</p>,10.1371/journal.pone.0354701.t002,2026-07-28T17:33:57Z,https://plos.figshare.com/articles/dataset/_p_Preoperative_level_of_anxiety_score_according_to_metric_variables_Results_are_expressed_as_mean_SD_p_/33105691
figshare,<p>The scores of the Amsterdam Pre-operative Anxiety and Information Scale (APAIS) and its components.</p>,10.1371/journal.pone.0354701.t001,2026-07-28T17:33:56Z,https://plos.figshare.com/articles/dataset/_p_The_scores_of_the_Amsterdam_Pre-operative_Anxiety_and_Information_Scale_APAIS_and_its_components_p_/33105688
figshare,"<p>Pairwise comparison for time for PPTI, FS, and SWLS.</p>",10.1371/journal.pone.0354083.t006,2026-07-28T17:33:50Z,https://plos.figshare.com/articles/dataset/_p_Pairwise_comparison_for_time_for_PPTI_FS_and_SWLS_p_/33105673
figshare,"<p><i>F</i>-tests for PPTI, FS, and SWLS.</p>",10.1371/journal.pone.0354083.t005,2026-07-28T17:33:49Z,https://plos.figshare.com/articles/dataset/_p_i_F_i_-tests_for_PPTI_FS_and_SWLS_p_/33105670
figshare,"<p>Pairwise comparison for time for FQ, BAI, PAS, and GAD-7.</p>",10.1371/journal.pone.0354083.t004,2026-07-28T17:33:48Z,https://plos.figshare.com/articles/dataset/_p_Pairwise_comparison_for_time_for_FQ_BAI_PAS_and_GAD-7_p_/33105667
figshare,"<p><i>F</i>-tests for FQ, BAI, PAS, and GAD-7.</p>",10.1371/journal.pone.0354083.t003,2026-07-28T17:33:46Z,https://plos.figshare.com/articles/dataset/_p_i_F_i_-tests_for_FQ_BAI_PAS_and_GAD-7_p_/33105664
figshare,"ResearchBox 283, 'Anxiety disorders & EF'",10.5281/zenodo.15032729,2026-07-28T11:23:39Z,https://researchdata.smu.edu.sg/articles/dataset/ResearchBox_283_Anxiety_disorders_EF_/30747830
figshare,"ResearchBox 234, 'Social pressure to be busy & emotional well-being'",10.5281/zenodo.15032678,2026-07-28T11:22:55Z,https://researchdata.smu.edu.sg/articles/dataset/ResearchBox_234_Social_pressure_to_be_busy_emotional_well-being_/30749288
figshare,"<p>Machine learning predictive performance (<i>M ± SD</i>) and statistical comparisons (<i>t</i>, <i>p</i>) between feature sets in predicting social anxiety trait scores.</p>",10.1371/journal.pcbi.1014509.s006,2026-07-27T17:34:25Z,https://plos.figshare.com/articles/dataset/_p_Machine_learning_predictive_performance_i_M_SD_i_and_statistical_comparisons_i_t_i_i_p_i_between_feature_sets_in_predicting_social_anxiety_trait_scores_p_/33096706
surf,Emotional Responses to a Virtual Public Speaking Task: Effects of Audience Attitude and Size,10.34894/1ao0ll,2026-06-09T08:00:20Z,https://doi.org/10.34894/1AO0LL
zenodo,"Mobile Health for Mental Health: A Pilot Study on Well-being, Burnout, and Stress Among Healthcare Professionals",10.5281/zenodo.20716957,2026-06-16,
zenodo,"Dataset of Scopus search on Artificial Intelligence, Human Agency, and Psychosocial Risks at Work",10.5281/zenodo.21790613,2026-08-04,
figshare,"<p>Burnout profiles and their differences in burnout symptoms, depression, work engagement, job demands, social support, and structural impairment.</p>",10.1371/journal.pone.0352860.t008,2026-07-06T17:35:24Z,https://plos.figshare.com/articles/dataset/_p_Burnout_profiles_and_their_differences_in_burnout_symptoms_depression_work_engagement_job_demands_social_support_and_structural_impairment_p_/32913220
figshare,<p>Intercorrelations between the BCSQ-12 and the MBI-GS-D.</p>,10.1371/journal.pone.0352860.t007,2026-07-06T17:35:23Z,https://plos.figshare.com/articles/dataset/_p_Intercorrelations_between_the_BCSQ-12_and_the_MBI-GS-D_p_/32913217
figshare,<p>Results of an exploratory factor analysis of the German BCSQ-12.</p>,10.1371/journal.pone.0352860.t006,2026-07-06T17:35:22Z,https://plos.figshare.com/articles/dataset/_p_Results_of_an_exploratory_factor_analysis_of_the_German_BCSQ-12_p_/32913214
figshare,<p>Confirmatory Factor Analysis Results and Reliability.</p>,10.1371/journal.pone.0352383.t004,2026-06-25T17:35:44Z,https://plos.figshare.com/articles/dataset/_p_Confirmatory_Factor_Analysis_Results_and_Reliability_p_/32793363
figshare,"<p>Association of Burnout Dimensions with Work-Related Factors, Coping Strategies, and Wellbeing Indicators.</p>",10.1371/journal.pone.0350426.t006,2026-06-15T17:26:47Z,https://plos.figshare.com/articles/dataset/_p_Association_of_Burnout_Dimensions_with_Work-Related_Factors_Coping_Strategies_and_Wellbeing_Indicators_p_/32678999
figshare,<p>Spearman correlations between resilience (CD-RISC 10) and stress measures.</p>,10.1371/journal.pone.0350343.t003,2026-06-02T17:31:18Z,https://plos.figshare.com/articles/dataset/_p_Spearman_correlations_between_resilience_CD-RISC_10_and_stress_measures_p_/32558810
figshare,<p>Assessment of Measurement Invariance Based on School Type.</p>,10.1371/journal.pone.0349605.t008,2026-05-18T17:30:25Z,https://plos.figshare.com/articles/dataset/_p_Assessment_of_Measurement_Invariance_Based_on_School_Type_p_/32317620
figshare,<p>Assessment of Measurement Invariance Based on Gender.</p>,10.1371/journal.pone.0349605.t007,2026-05-18T17:30:24Z,https://plos.figshare.com/articles/dataset/_p_Assessment_of_Measurement_Invariance_Based_on_Gender_p_/32317617
figshare,"Dataset for childhood trauma, cortisol dynamic range and depression study",10.6084/m9.figshare.33075128.v1,2026-07-23T21:23:24Z,https://figshare.com/articles/dataset/Dataset_for_childhood_trauma_cortisol_dynamic_range_and_depression_study/33075128
figshare,<p>Perceived stress scale (PSS-10) response (N = 380).</p>,10.1371/journal.pone.0354261.t006,2026-07-20T17:31:01Z,https://plos.figshare.com/articles/dataset/_p_Perceived_stress_scale_PSS-10_response_N_380_p_/33041711
figshare,<p>Confirmatory factor analysis results.</p>,10.1371/journal.pone.0351968.t001,2026-06-17T17:33:32Z,https://plos.figshare.com/articles/dataset/_p_Confirmatory_factor_analysis_results_p_/32718670
figshare,<p>Descriptive statistics of coping strategies (Brief COPE) (N = 212).</p>,10.1371/journal.pone.0349770.t004,2026-05-21T07:36:19Z,https://plos.figshare.com/articles/dataset/_p_Descriptive_statistics_of_coping_strategies_Brief_COPE_N_212_p_/32344437
figshare,<p>Descriptive statistics of perceived stress (PSS-10) by levels (N = 212).</p>,10.1371/journal.pone.0349770.t003,2026-05-21T07:36:18Z,https://plos.figshare.com/articles/dataset/_p_Descriptive_statistics_of_perceived_stress_PSS-10_by_levels_N_212_p_/32344434
figshare,<p>Descriptive statistics of perceived stress (PSS-10) by items (N = 212).</p>,10.1371/journal.pone.0349770.t002,2026-05-21T07:36:17Z,https://plos.figshare.com/articles/dataset/_p_Descriptive_statistics_of_perceived_stress_PSS-10_by_items_N_212_p_/32344431
surf,Towards data literacy in higher education,10.34894/ukm2ev,2026-06-01T09:42:09Z,https://doi.org/10.34894/UKM2EV
zenodo,Mindfulness & Well-being,10.5281/zenodo.21794626,2026-08-04,
zenodo,Exploring the relationship between outdoor recreation and well-being,10.5281/zenodo.20345561,2026-05-22,
zenodo,Supporting teachers' reflection on their digital well-being,10.5281/zenodo.20794574,2026-06-22,
zenodo,Drivers and Impact of Digital tools and well-being,10.5281/zenodo.21922341,2026-08-13,
dryad,Data from: The HSTA logic model: A comparative analysis of psychometric outcomes for predicting academic and life success,10.5061/dryad.4f4qrfjrg,2026-07-01,https://datadryad.org/dataset/doi:10.5061/dryad.4f4qrfjrg
